a1,n1,n2,n,a2,a3,a4
4388,343,Three hundred forty-three  ,Four thousand  three hundred eighty-eight  ,2040,730,1894
2990,344,Three hundred forty-four  ,Two thousand  nine hundred ninety  ,2813,956,1725
2108,345,Three hundred forty-five  ,Two thousand  one hundred eight  ,1297,1254,1911
6659,346,Three hundred forty-six  ,Six thousand  six hundred fifty-nine  ,2787,1297,1584
7696,347,Three hundred forty-seven  ,Seven thousand  six hundred ninety-six  ,2058,1761,7609
7404,348,Three hundred forty-eight  ,Seven thousand  four hundred four  ,3213,2294,1184
9719,349,Three hundred forty-nine  ,Nine thousand  seven hundred nineteen  ,4855,23,4940
3185,350,Three hundred fifty  ,Three thousand  one hundred eighty-five  ,2540,1962,953
4835,351,Three hundred fifty one  ,Four thousand  eight hundred thirty-five  ,3436,900,75
3293,352,Three hundred fifty-two  ,Three thousand  two hundred ninety-three  ,2209,2978,1243
1798,353,Three hundred fifty-three  ,One thousand  seven hundred ninety-eight  ,663,831,1715
97,354,Three hundred fifty-four  ,Ninety-seven  ,66,38,35
3081,355,Three hundred fifty-five  ,Three thousand  eighty one  ,2178,212,1091
8599,356,Three hundred fifty-six  ,Eight thousand  five hundred ninety-nine  ,2545,6264,1068
9904,357,Three hundred fifty-seven  ,Nine thousand  nine hundred four  ,1238,5605,7703
9295,358,Three hundred fifty-eight  ,Nine thousand  two hundred ninety-five  ,6057,910,750
6429,359,Three hundred fifty-nine  ,Six thousand  four hundred twenty-nine  ,1932,4645,5591
8749,360,Three hundred sixty  ,Eight thousand  seven hundred forty-nine  ,694,7558,6598
6526,361,Three hundred sixty one  ,Six thousand  five hundred twenty-six  ,2471,4224,5185
3350,362,Three hundred sixty-two  ,Three thousand  three hundred fifty  ,3210,1704,3349
3739,363,Three hundred sixty-three  ,Three thousand  seven hundred thirty-nine  ,365,1108,2562
635,364,Three hundred sixty-four  ,Six hundred thirty-five  ,269,556,1
9423,365,Three hundred sixty-five  ,Nine thousand  four hundred twenty-three  ,2146,4991,4515
799,366,Three hundred sixty-six  ,Seven hundred ninety-nine  ,179,72,338
1510,367,Three hundred sixty-seven  ,One thousand  five hundred ten  ,395,156,636
3940,368,Three hundred sixty-eight  ,Three thousand  nine hundred forty  ,2082,1562,2476
7752,369,Three hundred sixty-nine  ,Seven thousand  seven hundred fifty-two  ,626,4889,3169
3577,370,Three hundred seventy  ,Three thousand  five hundred seventy-seven  ,2089,3402,250
3491,371,Three hundred seventy one  ,Three thousand  four hundred ninety one  ,940,20,427
5779,372,Three hundred seventy-two  ,Five thousand  seven hundred seventy-nine  ,3669,720,4146
4136,373,Three hundred seventy-three  ,Four thousand  one hundred thirty-six  ,4090,996,1430
913,374,Three hundred seventy-four  ,Nine hundred thirteen  ,151,642,723
9977,375,Three hundred seventy-five  ,Nine thousand  nine hundred seventy-seven  ,2878,6484,5336
4823,376,Three hundred seventy-six  ,Four thousand  eight hundred twenty-three  ,3980,1988,3427
4307,377,Three hundred seventy-seven  ,Four thousand  three hundred seven  ,4019,2760,3030
5026,378,Three hundred seventy-eight  ,Five thousand  twenty-six  ,2916,2025,3565
3097,379,Three hundred seventy-nine  ,Three thousand  ninety-seven  ,458,1511,2969
4203,380,Three hundred eighty  ,Four thousand  two hundred three  ,1313,3266,277
5364,381,Three hundred eighty one  ,Five thousand  three hundred sixty-four  ,1604,132,332
6373,382,Three hundred eighty-two  ,Six thousand  three hundred seventy-three  ,2347,4305,4582
5319,383,Three hundred eighty-three  ,Five thousand  three hundred nineteen  ,4588,4651,2199
1459,384,Three hundred eighty-four  ,One thousand  four hundred fifty-nine  ,926,208,501
2232,385,Three hundred eighty-five  ,Two thousand  two hundred thirty-two  ,2188,2165,1666
4470,386,Three hundred eighty-six  ,Four thousand  four hundred seventy  ,2268,4195,769
2534,387,Three hundred eighty-seven  ,Two thousand  five hundred thirty-four  ,1014,1811,1059
2243,388,Three hundred eighty-eight  ,Two thousand  two hundred forty-three  ,729,2233,2035
2036,389,Three hundred eighty-nine  ,Two thousand  thirty-six  ,1212,2014,1094
5439,390,Three hundred ninety  ,Five thousand  four hundred thirty-nine  ,4672,2925,2735
7539,391,Three hundred ninety one  ,Seven thousand  five hundred thirty-nine  ,1631,4241,206
7823,392,Three hundred ninety-two  ,Seven thousand  eight hundred twenty-three  ,6131,4109,7580
8175,393,Three hundred ninety-three  ,Eight thousand  one hundred seventy-five  ,6445,2357,7791
928,394,Three hundred ninety-four  ,Nine hundred twenty-eight  ,712,657,215
4135,395,Three hundred ninety-five  ,Four thousand  one hundred thirty-five  ,573,2201,2685
5795,396,Three hundred ninety-six  ,Five thousand  seven hundred ninety-five  ,2155,1848,5343
3167,397,Three hundred ninety-seven  ,Three thousand  one hundred sixty-seven  ,2415,673,1717
9317,398,Three hundred ninety-eight  ,Nine thousand  three hundred seventeen  ,6063,8938,2836
4305,399,Three hundred ninety-nine  ,Four thousand  three hundred five  ,3389,2004,3319
829,400,Four hundred  ,Eight hundred twenty-nine  ,341,505,716
5711,401,Four hundred one  ,Five thousand  seven hundred eleven  ,3389,3189,5270
5371,402,Four hundred two  ,Five thousand  three hundred seventy one  ,905,1428,3168
5201,403,Four hundred three  ,Five thousand  two hundred one  ,4646,3347,2259
1753,404,Four hundred four  ,One thousand  seven hundred fifty-three  ,1013,910,748
891,405,Four hundred five  ,Eight hundred ninety one  ,742,728,685
2396,406,Four hundred six  ,Two thousand  three hundred ninety-six  ,663,766,2044
9523,407,Four hundred seven  ,Nine thousand  five hundred twenty-three  ,605,18,8488
8920,408,Four hundred eight  ,Eight thousand  nine hundred twenty  ,5248,91,3073
2540,409,Four hundred nine  ,Two thousand  five hundred forty  ,270,1241,1148
2865,410,Four hundred ten  ,Two thousand  eight hundred sixty-five  ,1588,332,1103
7677,411,Four hundred eleven  ,Seven thousand  six hundred seventy-seven  ,4075,1548,1677
4325,412,Four hundred twelve  ,Four thousand  three hundred twenty-five  ,3063,3089,1936
3449,413,Four hundred thirteen  ,Three thousand  four hundred forty-nine  ,2452,598,616
2118,414,Four hundred fourteen  ,Two thousand  one hundred eighteen  ,1305,986,1430
6171,415,Four hundred fifteen  ,Six thousand  one hundred seventy one  ,5591,5235,3819
8160,416,Four hundred sixteen  ,Eight thousand  one hundred sixty  ,5831,7400,7361
8714,417,Four hundred seventeen  ,Eight thousand  seven hundred fourteen  ,5748,3847,6147
9353,418,Four hundred eighteen  ,Nine thousand  three hundred fifty-three  ,2161,5150,5066
1789,419,Four hundred nineteen  ,One thousand  seven hundred eighty-nine  ,1346,500,1287
4210,420,Four hundred twenty  ,Four thousand  two hundred ten  ,1008,232,3496
2582,421,Four hundred twenty one  ,Two thousand  five hundred eighty-two  ,497,1171,973
2421,422,Four hundred twenty-two  ,Two thousand  four hundred twenty one  ,1583,1976,1366
4450,423,Four hundred twenty-three  ,Four thousand  four hundred fifty  ,1195,1973,2928
9989,424,Four hundred twenty-four  ,Nine thousand  nine hundred eighty-nine  ,7605,3851,4315
2180,425,Four hundred twenty-five  ,Two thousand  one hundred eighty  ,1919,712,580
7691,426,Four hundred twenty-six  ,Seven thousand  six hundred ninety one  ,4612,4602,207
3854,427,Four hundred twenty-seven  ,Three thousand  eight hundred fifty-four  ,1266,1739,2161
8919,428,Four hundred twenty-eight  ,Eight thousand  nine hundred nineteen  ,465,8730,4360
1484,429,Four hundred twenty-nine  ,One thousand  four hundred eighty-four  ,916,1157,525
5513,430,Four hundred thirty  ,Five thousand  five hundred thirteen  ,900,4035,2215
3805,431,Four hundred thirty one  ,Three thousand  eight hundred five  ,2908,764,2178
787,432,Four hundred thirty-two  ,Seven hundred eighty-seven  ,395,217,202
871,433,Four hundred thirty-three  ,Eight hundred seventy one  ,800,598,214
2486,434,Four hundred thirty-four  ,Two thousand  four hundred eighty-six  ,185,814,321
3370,435,Four hundred thirty-five  ,Three thousand  three hundred seventy  ,452,710,1048
8121,436,Four hundred thirty-six  ,Eight thousand  one hundred twenty one  ,4838,3007,2960
3417,437,Four hundred thirty-seven  ,Three thousand  four hundred seventeen  ,1414,1148,2844
5284,438,Four hundred thirty-eight  ,Five thousand  two hundred eighty-four  ,1737,2455,4453
2070,439,Four hundred thirty-nine  ,Two thousand  seventy  ,1467,198,1677
7094,440,Four hundred forty  ,Seven thousand  ninety-four  ,1769,884,4029
7462,441,Four hundred forty one  ,Seven thousand  four hundred sixty-two  ,4423,2500,1939
7087,442,Four hundred forty-two  ,Seven thousand  eighty-seven  ,1782,2133,4477
3295,443,Four hundred forty-three  ,Three thousand  two hundred ninety-five  ,157,64,1530
9877,444,Four hundred forty-four  ,Nine thousand  eight hundred seventy-seven  ,7078,8463,6240
2864,445,Four hundred forty-five  ,Two thousand  eight hundred sixty-four  ,2791,2624,669
8455,446,Four hundred forty-six  ,Eight thousand  four hundred fifty-five  ,3809,3964,4575
7820,447,Four hundred forty-seven  ,Seven thousand  eight hundred twenty  ,3884,2793,2699
9920,448,Four hundred forty-eight  ,Nine thousand  nine hundred twenty  ,9485,4541,8335
1683,449,Four hundred forty-nine  ,One thousand  six hundred eighty-three  ,840,1219,1368
8168,450,Four hundred fifty  ,Eight thousand  one hundred sixty-eight  ,3664,6050,8073
8355,451,Four hundred fifty one  ,Eight thousand  three hundred fifty-five  ,3597,5414,5535
791,452,Four hundred fifty-two  ,Seven hundred ninety one  ,86,360,207
3984,453,Four hundred fifty-three  ,Three thousand  nine hundred eighty-four  ,1891,2754,1470
4183,454,Four hundred fifty-four  ,Four thousand  one hundred eighty-three  ,2934,1419,738
4771,455,Four hundred fifty-five  ,Four thousand  seven hundred seventy one  ,73,1306,2771
5744,456,Four hundred fifty-six  ,Five thousand  seven hundred forty-four  ,4150,92,1320
6285,457,Four hundred fifty-seven  ,Six thousand  two hundred eighty-five  ,5268,4100,523
8061,458,Four hundred fifty-eight  ,Eight thousand  sixty one  ,2413,3731,5221
5084,459,Four hundred fifty-nine  ,Five thousand  eighty-four  ,3092,1694,16
7407,460,Four hundred sixty  ,Seven thousand  four hundred seven  ,316,354,1968
7032,461,Four hundred sixty one  ,Seven thousand  thirty-two  ,3997,1614,3591
6743,462,Four hundred sixty-two  ,Six thousand  seven hundred forty-three  ,4935,1647,1506
5806,463,Four hundred sixty-three  ,Five thousand  eight hundred six  ,2350,5340,1901
2455,464,Four hundred sixty-four  ,Two thousand  four hundred fifty-five  ,1482,1302,141
7346,465,Four hundred sixty-five  ,Seven thousand  three hundred forty-six  ,5786,7038,3792
9235,466,Four hundred sixty-six  ,Nine thousand  two hundred thirty-five  ,5140,3313,943
5779,467,Four hundred sixty-seven  ,Five thousand  seven hundred seventy-nine  ,2923,4606,1078
1971,468,Four hundred sixty-eight  ,One thousand  nine hundred seventy one  ,1514,461,1183
1274,469,Four hundred sixty-nine  ,One thousand  two hundred seventy-four  ,413,309,338
2638,470,Four hundred seventy  ,Two thousand  six hundred thirty-eight  ,943,73,1902
5552,471,Four hundred seventy one  ,Five thousand  five hundred fifty-two  ,3395,76,3169
7723,472,Four hundred seventy-two  ,Seven thousand  seven hundred twenty-three  ,3091,4710,1099
8459,473,Four hundred seventy-three  ,Eight thousand  four hundred fifty-nine  ,4824,7429,4408
8385,474,Four hundred seventy-four  ,Eight thousand  three hundred eighty-five  ,1686,4056,4621
2025,475,Four hundred seventy-five  ,Two thousand  twenty-five  ,1080,1349,445
7130,476,Four hundred seventy-six  ,Seven thousand  one hundred thirty  ,4055,6460,3166
1510,477,Four hundred seventy-seven  ,One thousand  five hundred ten  ,893,921,748
9340,478,Four hundred seventy-eight  ,Nine thousand  three hundred forty  ,4429,8595,7125
3254,479,Four hundred seventy-nine  ,Three thousand  two hundred fifty-four  ,450,995,2178
3125,480,Four hundred eighty  ,Three thousand  one hundred twenty-five  ,1631,804,1370
4,481,Four hundred eighty one  ,Four  ,1,2,2
8624,482,Four hundred eighty-two  ,Eight thousand  six hundred twenty-four  ,4821,2641,4523
6734,483,Four hundred eighty-three  ,Six thousand  seven hundred thirty-four  ,1201,6315,1348
1729,484,Four hundred eighty-four  ,One thousand  seven hundred twenty-nine  ,696,1116,1111
5649,485,Four hundred eighty-five  ,Five thousand  six hundred forty-nine  ,4954,3901,4242
8256,486,Four hundred eighty-six  ,Eight thousand  two hundred fifty-six  ,4876,1455,6820
1942,487,Four hundred eighty-seven  ,One thousand  nine hundred forty-two  ,483,151,279
1525,488,Four hundred eighty-eight  ,One thousand  five hundred twenty-five  ,1372,413,214
7430,489,Four hundred eighty-nine  ,Seven thousand  four hundred thirty  ,1733,3137,2241
1643,490,Four hundred ninety  ,One thousand  six hundred forty-three  ,1150,293,529
1663,491,Four hundred ninety one  ,One thousand  six hundred sixty-three  ,224,355,352
1161,492,Four hundred ninety-two  ,One thousand  one hundred sixty one  ,1128,691,255
8381,493,Four hundred ninety-three  ,Eight thousand  three hundred eighty one  ,4878,5654,1686
1644,494,Four hundred ninety-four  ,One thousand  six hundred forty-four  ,145,1032,1579
499,495,Four hundred ninety-five  ,Four hundred ninety-nine  ,408,107,270
4008,496,Four hundred ninety-six  ,Four thousand  eight  ,3961,1726,3650
2165,497,Four hundred ninety-seven  ,Two thousand  one hundred sixty-five  ,1454,357,1449
6822,498,Four hundred ninety-eight  ,Six thousand  eight hundred twenty-two  ,4720,4954,4343
6144,499,Four hundred ninety-nine  ,Six thousand  one hundred forty-four  ,3309,2856,623
